Metric,Value
design__lint_error__count,0
design__lint_timing_construct__count,0
design__lint_warning__count,496
design__inferred_latch__count,0
design__instance__count,164526
design__instance__area,1.03472E+6
design__instance_unmapped__count,0
synthesis__check_error__count,0
design__max_slew_violation__count__corner:nom_tt_025C_1v80,0
design__max_fanout_violation__count__corner:nom_tt_025C_1v80,0
design__max_cap_violation__count__corner:nom_tt_025C_1v80,0
power__internal__total,0.04097944498062134
power__switching__total,0.014599855989217758
power__leakage__total,0.000001540862285764888
power__total,0.05558084324002266
clock__skew__worst_hold__corner:nom_tt_025C_1v80,-1.8523523239577586
clock__skew__worst_setup__corner:nom_tt_025C_1v80,1.5514014956258877
timing__hold__ws__corner:nom_tt_025C_1v80,0.3153175587660492
timing__setup__ws__corner:nom_tt_025C_1v80,11.16354862371754
timing__hold__tns__corner:nom_tt_025C_1v80,0.0
timing__setup__tns__corner:nom_tt_025C_1v80,0.0
timing__hold__wns__corner:nom_tt_025C_1v80,0
timing__setup__wns__corner:nom_tt_025C_1v80,0.0
timing__hold_vio__count__corner:nom_tt_025C_1v80,0
timing__hold_r2r__ws__corner:nom_tt_025C_1v80,0.315318
timing__hold_r2r_vio__count__corner:nom_tt_025C_1v80,0
timing__setup_vio__count__corner:nom_tt_025C_1v80,0
timing__setup_r2r__ws__corner:nom_tt_025C_1v80,11.163548
timing__setup_r2r_vio__count__corner:nom_tt_025C_1v80,0
design__max_slew_violation__count__corner:nom_ss_100C_1v60,0
design__max_fanout_violation__count__corner:nom_ss_100C_1v60,0
design__max_cap_violation__count__corner:nom_ss_100C_1v60,0
clock__skew__worst_hold__corner:nom_ss_100C_1v60,-3.1286281118025703
clock__skew__worst_setup__corner:nom_ss_100C_1v60,2.552253147732164
timing__hold__ws__corner:nom_ss_100C_1v60,-0.22237901038935634
timing__setup__ws__corner:nom_ss_100C_1v60,-1.5704238354231987
timing__hold__tns__corner:nom_ss_100C_1v60,-0.42400173461250273
timing__setup__tns__corner:nom_ss_100C_1v60,-4.605581824049851
timing__hold__wns__corner:nom_ss_100C_1v60,-0.22237901038935634
timing__setup__wns__corner:nom_ss_100C_1v60,-1.5704238354231987
timing__hold_vio__count__corner:nom_ss_100C_1v60,2
timing__hold_r2r__ws__corner:nom_ss_100C_1v60,0.976553
timing__hold_r2r_vio__count__corner:nom_ss_100C_1v60,0
timing__setup_vio__count__corner:nom_ss_100C_1v60,9
timing__setup_r2r__ws__corner:nom_ss_100C_1v60,-1.570424
timing__setup_r2r_vio__count__corner:nom_ss_100C_1v60,9
design__max_slew_violation__count__corner:nom_ff_n40C_1v95,0
design__max_fanout_violation__count__corner:nom_ff_n40C_1v95,0
design__max_cap_violation__count__corner:nom_ff_n40C_1v95,0
clock__skew__worst_hold__corner:nom_ff_n40C_1v95,-1.3361567785945443
clock__skew__worst_setup__corner:nom_ff_n40C_1v95,1.1332224368530106
timing__hold__ws__corner:nom_ff_n40C_1v95,0.07566458784800913
timing__setup__ws__corner:nom_ff_n40C_1v95,16.005943690152733
timing__hold__tns__corner:nom_ff_n40C_1v95,0.0
timing__setup__tns__corner:nom_ff_n40C_1v95,0.0
timing__hold__wns__corner:nom_ff_n40C_1v95,0
timing__setup__wns__corner:nom_ff_n40C_1v95,0.0
timing__hold_vio__count__corner:nom_ff_n40C_1v95,0
timing__hold_r2r__ws__corner:nom_ff_n40C_1v95,0.075665
timing__hold_r2r_vio__count__corner:nom_ff_n40C_1v95,0
timing__setup_vio__count__corner:nom_ff_n40C_1v95,0
timing__setup_r2r__ws__corner:nom_ff_n40C_1v95,16.005943
timing__setup_r2r_vio__count__corner:nom_ff_n40C_1v95,0
design__max_slew_violation__count,0
design__max_fanout_violation__count,0
design__max_cap_violation__count,0
clock__skew__worst_hold,-1.2865159302020528
clock__skew__worst_setup,1.0925102243216787
timing__hold__ws,-0.4695115540358329
timing__setup__ws,-2.31900905042733
timing__hold__tns,-1.465532625625347
timing__setup__tns,-15.724478164632535
timing__hold__wns,-0.4695115540358329
timing__setup__wns,-2.31900905042733
timing__hold_vio__count,13
timing__hold_r2r__ws,0.049431
timing__hold_r2r_vio__count,0
timing__setup_vio__count,33
timing__setup_r2r__ws,-2.319009
timing__setup_r2r_vio__count,33
design__die__bbox,0.0 0.0 2145.135 2155.855
design__core__bbox,5.52 10.88 2139.46 2143.36
design__io,154
design__die__area,4.6246E+6
design__core__area,4.55058E+6
design__instance__count__stdcell,164526
design__instance__area__stdcell,1.03472E+6
design__instance__count__macros,0
design__instance__area__macros,0
design__instance__utilization,0.227383
design__instance__utilization__stdcell,0.227383
design__instance__count__class:buffer,9310
design__instance__count__class:inverter,661
design__instance__count__class:sequential_cell,10201
design__instance__count__class:multi_input_combinational_cell,55269
flow__warnings__count,1
flow__errors__count,0
design__instance__count__class:fill_cell,391314
design__instance__count__class:tap_cell,64845
design__power_grid_violation__count__net:VGND,0
design__power_grid_violation__count__net:VPWR,0
design__power_grid_violation__count,0
floorplan__design__io,152
design__io__hpwl,77513099
design__max_slew_violation__count__corner:max_ss_100C_1v60,0
design__max_fanout_violation__count__corner:max_ss_100C_1v60,0
design__max_cap_violation__count__corner:max_ss_100C_1v60,0
clock__skew__worst_hold__corner:max_ss_100C_1v60,-3.283326148339789
clock__skew__worst_setup__corner:max_ss_100C_1v60,2.6646143823401705
timing__hold__ws__corner:max_ss_100C_1v60,-0.4695115540358329
timing__setup__ws__corner:max_ss_100C_1v60,-2.31900905042733
timing__hold__tns__corner:max_ss_100C_1v60,-1.465532625625347
timing__setup__tns__corner:max_ss_100C_1v60,-15.724478164632535
timing__hold__wns__corner:max_ss_100C_1v60,-0.4695115540358329
timing__setup__wns__corner:max_ss_100C_1v60,-2.31900905042733
timing__hold_vio__count__corner:max_ss_100C_1v60,11
timing__hold_r2r__ws__corner:max_ss_100C_1v60,0.958560
timing__hold_r2r_vio__count__corner:max_ss_100C_1v60,0
timing__setup_vio__count__corner:max_ss_100C_1v60,23
timing__setup_r2r__ws__corner:max_ss_100C_1v60,-2.319009
timing__setup_r2r_vio__count__corner:max_ss_100C_1v60,23
timing__drv__floating__nets,0
timing__drv__floating__pins,0
design__instance__displacement__total,0
design__instance__displacement__mean,0
design__instance__displacement__max,0
route__wirelength__estimated,3.8587E+6
design__violations,0
design__instance__count__class:timing_repair_buffer,18514
design__instance__count__class:clock_buffer,4570
design__instance__count__class:clock_inverter,1004
design__instance__count__hold_buffer,0
design__instance__count__setup_buffer,0
antenna__violating__nets,490
antenna__violating__pins,509
route__antenna_violation__count,490
design__instance__count__class:antenna_cell,152
antenna_diodes_count,0
route__net,97121
route__net__special,2
route__drc_errors__iter:1,24129
route__wirelength__iter:1,4173380
route__drc_errors__iter:2,7084
route__wirelength__iter:2,4158626
route__drc_errors__iter:3,5086
route__wirelength__iter:3,4155153
route__drc_errors__iter:4,148
route__wirelength__iter:4,4154693
route__drc_errors__iter:5,0
route__wirelength__iter:5,4154694
route__drc_errors,0
route__wirelength,4154694
route__vias,647620
