Metric,Value
design__lint_error__count,0
design__lint_timing_construct__count,0
design__lint_warning__count,478
design__inferred_latch__count,0
design__instance__count,23601
design__instance__area,150534
design__instance_unmapped__count,0
synthesis__check_error__count,0
design__max_slew_violation__count__corner:nom_tt_025C_1v80,0
design__max_fanout_violation__count__corner:nom_tt_025C_1v80,6
design__max_cap_violation__count__corner:nom_tt_025C_1v80,0
power__internal__total,0.00905254390090704
power__switching__total,0.006434108596295118
power__leakage__total,1.46262308931E-7
power__total,0.015486798249185085
clock__skew__worst_hold__corner:nom_tt_025C_1v80,-0.6937308701628553
clock__skew__worst_setup__corner:nom_tt_025C_1v80,0.5286450316019442
timing__hold__ws__corner:nom_tt_025C_1v80,0.42874072172714295
timing__setup__ws__corner:nom_tt_025C_1v80,15.307847867022812
timing__hold__tns__corner:nom_tt_025C_1v80,0
timing__setup__tns__corner:nom_tt_025C_1v80,0
timing__hold__wns__corner:nom_tt_025C_1v80,0
timing__setup__wns__corner:nom_tt_025C_1v80,0
timing__hold_vio__count__corner:nom_tt_025C_1v80,0
timing__hold_r2r__ws__corner:nom_tt_025C_1v80,0.493614
timing__hold_r2r_vio__count__corner:nom_tt_025C_1v80,0
timing__setup_vio__count__corner:nom_tt_025C_1v80,0
timing__setup_r2r__ws__corner:nom_tt_025C_1v80,16.322212
timing__setup_r2r_vio__count__corner:nom_tt_025C_1v80,0
design__max_slew_violation__count__corner:nom_ss_100C_1v60,0
design__max_fanout_violation__count__corner:nom_ss_100C_1v60,6
design__max_cap_violation__count__corner:nom_ss_100C_1v60,0
clock__skew__worst_hold__corner:nom_ss_100C_1v60,-1.030572545360661
clock__skew__worst_setup__corner:nom_ss_100C_1v60,0.7463623264013596
timing__hold__ws__corner:nom_ss_100C_1v60,1.2187260434681193
timing__setup__ws__corner:nom_ss_100C_1v60,8.806243095106481
timing__hold__tns__corner:nom_ss_100C_1v60,0
timing__setup__tns__corner:nom_ss_100C_1v60,0
timing__hold__wns__corner:nom_ss_100C_1v60,0
timing__setup__wns__corner:nom_ss_100C_1v60,0
timing__hold_vio__count__corner:nom_ss_100C_1v60,0
timing__hold_r2r__ws__corner:nom_ss_100C_1v60,1.218726
timing__hold_r2r_vio__count__corner:nom_ss_100C_1v60,0
timing__setup_vio__count__corner:nom_ss_100C_1v60,0
timing__setup_r2r__ws__corner:nom_ss_100C_1v60,8.806243
timing__setup_r2r_vio__count__corner:nom_ss_100C_1v60,0
design__max_slew_violation__count__corner:nom_ff_n40C_1v95,0
design__max_fanout_violation__count__corner:nom_ff_n40C_1v95,6
design__max_cap_violation__count__corner:nom_ff_n40C_1v95,0
clock__skew__worst_hold__corner:nom_ff_n40C_1v95,-0.5541006699196942
clock__skew__worst_setup__corner:nom_ff_n40C_1v95,0.4387104137479365
timing__hold__ws__corner:nom_ff_n40C_1v95,0.18965018980928477
timing__setup__ws__corner:nom_ff_n40C_1v95,17.21007385314791
timing__hold__tns__corner:nom_ff_n40C_1v95,0
timing__setup__tns__corner:nom_ff_n40C_1v95,0
timing__hold__wns__corner:nom_ff_n40C_1v95,0
timing__setup__wns__corner:nom_ff_n40C_1v95,0
timing__hold_vio__count__corner:nom_ff_n40C_1v95,0
timing__hold_r2r__ws__corner:nom_ff_n40C_1v95,0.18965
timing__hold_r2r_vio__count__corner:nom_ff_n40C_1v95,0
timing__setup_vio__count__corner:nom_ff_n40C_1v95,0
timing__setup_r2r__ws__corner:nom_ff_n40C_1v95,19.826797
timing__setup_r2r_vio__count__corner:nom_ff_n40C_1v95,0
design__max_slew_violation__count,0
design__max_fanout_violation__count,6
design__max_cap_violation__count,0
clock__skew__worst_hold,-0.5429614689316845
clock__skew__worst_setup,0.4324193348009742
timing__hold__ws,0.1773981012299162
timing__setup__ws,8.276036090687017
timing__hold__tns,0
timing__setup__tns,0
timing__hold__wns,0
timing__setup__wns,0
timing__hold_vio__count,0
timing__hold_r2r__ws,0.186762
timing__hold_r2r_vio__count,0
timing__setup_vio__count,0
timing__setup_r2r__ws,8.276036
timing__setup_r2r_vio__count,0
design__die__bbox,0.0 0.0 565.805 576.525
design__core__bbox,5.52 10.88 560.28 563.04
design__io,153
design__die__area,326201
design__core__area,306316
design__instance__count__stdcell,23601
design__instance__area__stdcell,150534
design__instance__count__macros,0
design__instance__area__macros,0
design__instance__utilization,0.491434
design__instance__utilization__stdcell,0.491434
design__instance__count__class:buffer,1405
design__instance__count__class:inverter,68
design__instance__count__class:sequential_cell,1571
design__instance__count__class:multi_input_combinational_cell,4732
flow__warnings__count,1
flow__errors__count,0
design__instance__count__class:fill_cell,31271
design__instance__count__class:tap_cell,4305
design__power_grid_violation__count__net:VGND,0
design__power_grid_violation__count__net:VPWR,0
design__power_grid_violation__count,0
design__max_slew_violation__count__corner:max_ss_100C_1v60,0
design__max_fanout_violation__count__corner:max_ss_100C_1v60,6
design__max_cap_violation__count__corner:max_ss_100C_1v60,0
clock__skew__worst_hold__corner:max_ss_100C_1v60,-1.0606490430598903
clock__skew__worst_setup__corner:max_ss_100C_1v60,0.7683830456060757
timing__hold__ws__corner:max_ss_100C_1v60,1.2373835639692206
timing__setup__ws__corner:max_ss_100C_1v60,8.276036090687017
timing__hold__tns__corner:max_ss_100C_1v60,0
timing__setup__tns__corner:max_ss_100C_1v60,0
timing__hold__wns__corner:max_ss_100C_1v60,0
timing__setup__wns__corner:max_ss_100C_1v60,0
timing__hold_vio__count__corner:max_ss_100C_1v60,0
timing__hold_r2r__ws__corner:max_ss_100C_1v60,1.237384
timing__hold_r2r_vio__count__corner:max_ss_100C_1v60,0
timing__setup_vio__count__corner:max_ss_100C_1v60,0
timing__setup_r2r__ws__corner:max_ss_100C_1v60,8.276036
timing__setup_r2r_vio__count__corner:max_ss_100C_1v60,0
timing__drv__floating__nets,0
timing__drv__floating__pins,0
design__instance__displacement__total,130.76
design__instance__displacement__mean,0.005
design__instance__displacement__max,22.96
route__wirelength__estimated,420807
design__violations,0
design__instance__count__class:timing_repair_buffer,4036
design__instance__count__class:clock_buffer,501
design__instance__count__class:clock_inverter,207
design__instance__count__hold_buffer,0
design__instance__count__setup_buffer,0
antenna__violating__nets,0
antenna__violating__pins,0
route__antenna_violation__count,0
design__instance__count__class:antenna_cell,6776
antenna_diodes_count,0
route__net,12232
route__net__special,2
route__drc_errors__iter:1,5440
route__wirelength__iter:1,471558
route__drc_errors__iter:2,1886
route__wirelength__iter:2,468275
route__drc_errors__iter:3,1711
route__wirelength__iter:3,467471
route__drc_errors__iter:4,115
route__wirelength__iter:4,467069
route__drc_errors__iter:5,0
route__wirelength__iter:5,467063
route__drc_errors,0
route__wirelength,467063
route__vias,95461
route__vias__singlecut,95461
route__vias__multicut,0
design__disconnected_pin__count,0
design__critical_disconnected_pin__count,0
timing__unannotated_net__count__corner:nom_tt_025C_1v80,336
timing__unannotated_net_filtered__count__corner:nom_tt_025C_1v80,0
timing__unannotated_net__count__corner:nom_ss_100C_1v60,336
