Metric,Value
design__lint_error__count,0
design__lint_timing_construct__count,0
design__lint_warning__count,441
design__inferred_latch__count,0
design__instance__count,5302
design__instance__area,31831.8
design__instance_unmapped__count,0
synthesis__check_error__count,0
design__max_slew_violation__count__corner:nom_tt_025C_1v80,0
design__max_fanout_violation__count__corner:nom_tt_025C_1v80,67
design__max_cap_violation__count__corner:nom_tt_025C_1v80,0
power__internal__total,0.001450872514396906
power__switching__total,0.0007291606161743402
power__leakage__total,4.274046006003118E-8
power__total,0.0021800759714096785
clock__skew__worst_hold__corner:nom_tt_025C_1v80,-0.28366185203635447
clock__skew__worst_setup__corner:nom_tt_025C_1v80,0.279983294473676
timing__hold__ws__corner:nom_tt_025C_1v80,0.35656389960963447
timing__setup__ws__corner:nom_tt_025C_1v80,10.740923121605285
timing__hold__tns__corner:nom_tt_025C_1v80,0.0
timing__setup__tns__corner:nom_tt_025C_1v80,0.0
timing__hold__wns__corner:nom_tt_025C_1v80,0
timing__setup__wns__corner:nom_tt_025C_1v80,0.0
timing__hold_vio__count__corner:nom_tt_025C_1v80,0
timing__hold_r2r__ws__corner:nom_tt_025C_1v80,0.356564
timing__hold_r2r_vio__count__corner:nom_tt_025C_1v80,0
timing__setup_vio__count__corner:nom_tt_025C_1v80,0
timing__setup_r2r__ws__corner:nom_tt_025C_1v80,16.317919
timing__setup_r2r_vio__count__corner:nom_tt_025C_1v80,0
design__max_slew_violation__count__corner:nom_ss_100C_1v60,0
design__max_fanout_violation__count__corner:nom_ss_100C_1v60,67
design__max_cap_violation__count__corner:nom_ss_100C_1v60,0
clock__skew__worst_hold__corner:nom_ss_100C_1v60,-0.30154021799673797
clock__skew__worst_setup__corner:nom_ss_100C_1v60,0.29217393220689364
timing__hold__ws__corner:nom_ss_100C_1v60,0.9634955328510006
timing__setup__ws__corner:nom_ss_100C_1v60,9.170055196959677
timing__hold__tns__corner:nom_ss_100C_1v60,0.0
timing__setup__tns__corner:nom_ss_100C_1v60,0.0
timing__hold__wns__corner:nom_ss_100C_1v60,0
timing__setup__wns__corner:nom_ss_100C_1v60,0.0
timing__hold_vio__count__corner:nom_ss_100C_1v60,0
timing__hold_r2r__ws__corner:nom_ss_100C_1v60,0.963496
timing__hold_r2r_vio__count__corner:nom_ss_100C_1v60,0
timing__setup_vio__count__corner:nom_ss_100C_1v60,0
timing__setup_r2r__ws__corner:nom_ss_100C_1v60,12.752310
timing__setup_r2r_vio__count__corner:nom_ss_100C_1v60,0
design__max_slew_violation__count__corner:nom_ff_n40C_1v95,0
design__max_fanout_violation__count__corner:nom_ff_n40C_1v95,67
design__max_cap_violation__count__corner:nom_ff_n40C_1v95,0
clock__skew__worst_hold__corner:nom_ff_n40C_1v95,-0.27647310223744365
clock__skew__worst_setup__corner:nom_ff_n40C_1v95,0.2739201998312683
timing__hold__ws__corner:nom_ff_n40C_1v95,0.12102985622944491
timing__setup__ws__corner:nom_ff_n40C_1v95,11.062759021977865
timing__hold__tns__corner:nom_ff_n40C_1v95,0.0
timing__setup__tns__corner:nom_ff_n40C_1v95,0.0
timing__hold__wns__corner:nom_ff_n40C_1v95,0
timing__setup__wns__corner:nom_ff_n40C_1v95,0.0
timing__hold_vio__count__corner:nom_ff_n40C_1v95,0
timing__hold_r2r__ws__corner:nom_ff_n40C_1v95,0.121030
timing__hold_r2r_vio__count__corner:nom_ff_n40C_1v95,0
timing__setup_vio__count__corner:nom_ff_n40C_1v95,0
timing__setup_r2r__ws__corner:nom_ff_n40C_1v95,17.566313
timing__setup_r2r_vio__count__corner:nom_ff_n40C_1v95,0
design__max_slew_violation__count,0
design__max_fanout_violation__count,67
design__max_cap_violation__count,0
clock__skew__worst_hold,-0.2734885173515096
clock__skew__worst_setup,0.270749430538839
timing__hold__ws,0.1166400897770772
timing__setup__ws,9.084785625364777
timing__hold__tns,0.0
timing__setup__tns,0.0
timing__hold__wns,0
timing__setup__wns,0.0
timing__hold_vio__count,0
timing__hold_r2r__ws,0.116640
timing__hold_r2r_vio__count,0
timing__setup_vio__count,0
timing__setup_r2r__ws,12.646530
timing__setup_r2r_vio__count,0
design__die__bbox,0.0 0.0 252.235 262.955
design__core__bbox,5.52 10.88 246.56 250.24
design__io,401
design__die__area,66326.5
design__core__area,57695.3
design__instance__count__stdcell,5302
design__instance__area__stdcell,31831.8
design__instance__count__macros,0
design__instance__area__macros,0
design__instance__utilization,0.551722
design__instance__utilization__stdcell,0.551722
design__instance__count__class:buffer,1
design__instance__count__class:inverter,5
design__instance__count__class:sequential_cell,357
design__instance__count__class:multi_input_combinational_cell,804
flow__warnings__count,0
flow__errors__count,0
design__instance__count__class:fill_cell,4814
design__instance__count__class:tap_cell,810
design__power_grid_violation__count__net:VGND,0
design__power_grid_violation__count__net:VPWR,0
design__power_grid_violation__count,0
design__max_slew_violation__count__corner:max_ss_100C_1v60,0
design__max_fanout_violation__count__corner:max_ss_100C_1v60,67
design__max_cap_violation__count__corner:max_ss_100C_1v60,0
clock__skew__worst_hold__corner:max_ss_100C_1v60,-0.3122243385540832
clock__skew__worst_setup__corner:max_ss_100C_1v60,0.30131351044869775
timing__hold__ws__corner:max_ss_100C_1v60,0.9784094922294934
timing__setup__ws__corner:max_ss_100C_1v60,9.084785625364777
timing__hold__tns__corner:max_ss_100C_1v60,0.0
timing__setup__tns__corner:max_ss_100C_1v60,0.0
timing__hold__wns__corner:max_ss_100C_1v60,0
timing__setup__wns__corner:max_ss_100C_1v60,0.0
timing__hold_vio__count__corner:max_ss_100C_1v60,0
timing__hold_r2r__ws__corner:max_ss_100C_1v60,0.978409
timing__hold_r2r_vio__count__corner:max_ss_100C_1v60,0
timing__setup_vio__count__corner:max_ss_100C_1v60,0
timing__setup_r2r__ws__corner:max_ss_100C_1v60,12.646530
timing__setup_r2r_vio__count__corner:max_ss_100C_1v60,0
timing__drv__floating__nets,0
timing__drv__floating__pins,0
design__instance__displacement__total,0
design__instance__displacement__mean,0
design__instance__displacement__max,0
route__wirelength__estimated,96188.2
design__violations,0
design__instance__count__class:timing_repair_buffer,1259
design__instance__count__class:clock_buffer,53
design__instance__count__class:clock_inverter,32
design__instance__count__setup_buffer,0
design__instance__count__hold_buffer,770
antenna__violating__nets,0
antenna__violating__pins,0
route__antenna_violation__count,0
design__instance__count__class:antenna_cell,1981
antenna_diodes_count,0
route__net,2656
route__net__special,2
route__drc_errors__iter:1,1433
route__wirelength__iter:1,107276
route__drc_errors__iter:2,781
route__wirelength__iter:2,106450
route__drc_errors__iter:3,692
route__wirelength__iter:3,106447
route__drc_errors__iter:4,43
route__wirelength__iter:4,106270
route__drc_errors__iter:5,0
route__wirelength__iter:5,106232
route__drc_errors,0
route__wirelength,106232
route__vias,20151
route__vias__singlecut,20151
route__vias__multicut,0
design__disconnected_pin__count,0
design__critical_disconnected_pin__count,0
route__wirelength__max,363.395
timing__unannotated_net__count__corner:nom_tt_025C_1v80,39
timing__unannotated_net_filtered__count__corner:nom_tt_025C_1v80,0
