Metric,Value
design__lint_error__count,0
design__lint_timing_construct__count,0
design__lint_warning__count,16
design__inferred_latch__count,0
design__instance__count,106924
design__instance__area,765938
design__instance_unmapped__count,0
synthesis__check_error__count,0
design__max_slew_violation__count__corner:nom_tt_025C_1v80,20399
design__max_fanout_violation__count__corner:nom_tt_025C_1v80,0
design__max_cap_violation__count__corner:nom_tt_025C_1v80,84
power__internal__total,0.0214444
power__switching__total,0.00571515
power__leakage__total,0.000428559
power__total,0.0275881
clock__skew__worst_hold__corner:nom_tt_025C_1v80,-0.25
clock__skew__worst_setup__corner:nom_tt_025C_1v80,0.25
timing__hold__ws__corner:nom_tt_025C_1v80,0.188286710996393
timing__setup__ws__corner:nom_tt_025C_1v80,-13.105097822308577
timing__hold__tns__corner:nom_tt_025C_1v80,0
timing__setup__tns__corner:nom_tt_025C_1v80,-16568.791138732475
timing__hold__wns__corner:nom_tt_025C_1v80,0
timing__setup__wns__corner:nom_tt_025C_1v80,-13.105097822308577
timing__hold_vio__count__corner:nom_tt_025C_1v80,0
timing__hold_r2r__ws__corner:nom_tt_025C_1v80,0.188287
timing__hold_r2r_vio__count__corner:nom_tt_025C_1v80,0
timing__setup_vio__count__corner:nom_tt_025C_1v80,1467
timing__setup_r2r__ws__corner:nom_tt_025C_1v80,4.25597
timing__setup_r2r_vio__count__corner:nom_tt_025C_1v80,0
design__max_slew_violation__count__corner:nom_ss_100C_1v60,26038
design__max_fanout_violation__count__corner:nom_ss_100C_1v60,0
design__max_cap_violation__count__corner:nom_ss_100C_1v60,203
clock__skew__worst_hold__corner:nom_ss_100C_1v60,-0.25
clock__skew__worst_setup__corner:nom_ss_100C_1v60,0.25
timing__hold__ws__corner:nom_ss_100C_1v60,0.6081633146997196
timing__setup__ws__corner:nom_ss_100C_1v60,-37.30222281088716
timing__hold__tns__corner:nom_ss_100C_1v60,0
timing__setup__tns__corner:nom_ss_100C_1v60,-51805.11435441806
timing__hold__wns__corner:nom_ss_100C_1v60,0
timing__setup__wns__corner:nom_ss_100C_1v60,-37.30222281088716
timing__hold_vio__count__corner:nom_ss_100C_1v60,0
timing__hold_r2r__ws__corner:nom_ss_100C_1v60,0.608163
timing__hold_r2r_vio__count__corner:nom_ss_100C_1v60,0
timing__setup_vio__count__corner:nom_ss_100C_1v60,1632
timing__setup_r2r__ws__corner:nom_ss_100C_1v60,-7.641729
timing__setup_r2r_vio__count__corner:nom_ss_100C_1v60,165
design__max_slew_violation__count__corner:nom_ff_n40C_1v95,19539
design__max_fanout_violation__count__corner:nom_ff_n40C_1v95,0
design__max_cap_violation__count__corner:nom_ff_n40C_1v95,69
clock__skew__worst_hold__corner:nom_ff_n40C_1v95,-0.25
clock__skew__worst_setup__corner:nom_ff_n40C_1v95,0.25
timing__hold__ws__corner:nom_ff_n40C_1v95,0.0360417261792484
timing__setup__ws__corner:nom_ff_n40C_1v95,-1.5693953247840977
timing__hold__tns__corner:nom_ff_n40C_1v95,0
timing__setup__tns__corner:nom_ff_n40C_1v95,-195.6901966971086
timing__hold__wns__corner:nom_ff_n40C_1v95,0
timing__setup__wns__corner:nom_ff_n40C_1v95,-1.5693953247840977
timing__hold_vio__count__corner:nom_ff_n40C_1v95,0
timing__hold_r2r__ws__corner:nom_ff_n40C_1v95,0.036042
timing__hold_r2r_vio__count__corner:nom_ff_n40C_1v95,0
timing__setup_vio__count__corner:nom_ff_n40C_1v95,482
timing__setup_r2r__ws__corner:nom_ff_n40C_1v95,9.811383
timing__setup_r2r_vio__count__corner:nom_ff_n40C_1v95,0
design__max_slew_violation__count,0
design__max_fanout_violation__count,0
design__max_cap_violation__count,0
clock__skew__worst_hold,-0.622129
clock__skew__worst_setup,0.628279
timing__hold__ws,0.344487
timing__setup__ws,2.99912
timing__hold__tns,0
timing__setup__tns,0
timing__hold__wns,0
timing__setup__wns,0
timing__hold_vio__count,0
timing__hold_r2r__ws,1.06229
timing__hold_r2r_vio__count,0
timing__setup_vio__count,0
timing__setup_r2r__ws,2.99912
timing__setup_r2r_vio__count,0
design__die__bbox,0.0 0.0 1583.93 1594.65
design__core__bbox,5.52 10.88 1578.26 1583.04
design__io,105
design__die__area,2.52581E+6
design__core__area,2.4726E+6
design__instance__count__stdcell,106924
design__instance__area__stdcell,765938
design__instance__count__macros,0
design__instance__area__macros,0
design__instance__utilization,0.309771
design__instance__utilization__stdcell,0.309771
design__instance__count__class:inverter,714
design__instance__count__class:sequential_cell,8360
design__instance__count__class:multi_input_combinational_cell,50189
flow__warnings__count,1
flow__errors__count,0
design__instance__count__class:fill_cell,184772
design__instance__count__class:tap_cell,35090
design__power_grid_violation__count__net:VGND,0
design__power_grid_violation__count__net:VPWR,0
design__power_grid_violation__count,0
floorplan__design__io,103
design__io__hpwl,85986491
design__max_slew_violation__count__corner:max_ss_100C_1v60,0
design__max_fanout_violation__count__corner:max_ss_100C_1v60,0
design__max_cap_violation__count__corner:max_ss_100C_1v60,0
clock__skew__worst_hold__corner:max_ss_100C_1v60,-0.622129
clock__skew__worst_setup__corner:max_ss_100C_1v60,0.628279
timing__hold__ws__corner:max_ss_100C_1v60,0.344487
timing__setup__ws__corner:max_ss_100C_1v60,2.99912
timing__hold__tns__corner:max_ss_100C_1v60,0
timing__setup__tns__corner:max_ss_100C_1v60,0
timing__hold__wns__corner:max_ss_100C_1v60,0
timing__setup__wns__corner:max_ss_100C_1v60,0
timing__hold_vio__count__corner:max_ss_100C_1v60,0
timing__hold_r2r__ws__corner:max_ss_100C_1v60,1.06229
timing__hold_r2r_vio__count__corner:max_ss_100C_1v60,0
timing__setup_vio__count__corner:max_ss_100C_1v60,0
timing__setup_r2r__ws__corner:max_ss_100C_1v60,2.99912
timing__setup_r2r_vio__count__corner:max_ss_100C_1v60,0
timing__drv__floating__nets,0
timing__drv__floating__pins,0
design__instance__displacement__total,2.76
design__instance__displacement__mean,0
design__instance__displacement__max,2.76
route__wirelength__estimated,1821680
design__violations,0
design__instance__count__class:timing_repair_buffer,9262
design__instance__count__class:clock_buffer,1464
design__instance__count__class:clock_inverter,800
design__instance__count__setup_buffer,0
design__instance__count__hold_buffer,16
antenna__violating__nets,51
antenna__violating__pins,56
route__antenna_violation__count,51
antenna_diodes_count,17
design__instance__count__class:antenna_cell,1045
route__net,69824
route__net__special,2
route__drc_errors__iter:1,25675
route__wirelength__iter:1,2388174
route__drc_errors__iter:2,8872
route__wirelength__iter:2,2374695
route__drc_errors__iter:3,7729
route__wirelength__iter:3,2371223
route__drc_errors__iter:4,404
route__wirelength__iter:4,2370684
route__drc_errors__iter:5,9
route__wirelength__iter:5,2370556
route__drc_errors__iter:6,0
route__wirelength__iter:6,2370547
route__drc_errors,0
route__wirelength,2370547
route__vias,506992
route__vias__singlecut,506992
route__vias__multicut,0
design__xor_difference__count,0
magic__drc_error__count,0
klayout__drc_error__count,0
magic__illegal_overlap__count,0
design__lvs_device_difference__count,0
design__lvs_net_difference__count,0
design__lvs_property_fail__count,0
