image=C:\Users\Dev\Desktop\SOCNPU_V2\dataset\image.png
feature_count=63
feature_min=-11
feature_max=22
sync=0xA5
version=0x01
sample_id=0
length=63
checksum=0xDB

index,raw_feature,quantized_int8,uart_byte
0,222.010421753,7,0x07
1,138.963546753,1,0x01
2,95.848960876,-3,0xFD
3,0.481584311,10,0x0A
4,0.300506115,-8,0xF8
5,83.046875000,11,0x0B
6,-83.046875000,-11,0xF5
7,108.906250000,10,0x0A
8,0.000000000,-1,0xFF
9,227.390243530,5,0x05
10,0.000000000,-2,0xFE
11,255.000000000,3,0x03
12,237.000000000,4,0x04
13,0.521739125,3,0x03
14,0.000000000,-2,0xFE
15,135.885421753,10,0x0A
16,222.020828247,7,0x07
17,90.635414124,-3,0xFD
18,83.703125000,-4,0xFC
19,84.026039124,0,0x00
20,0.364639133,0,0x00
21,0.320875943,-3,0xFD
22,6.932291508,0,0x00
23,-6.932291508,0,0x00
24,1.328125000,-4,0xFC
25,0.000000000,-4,0xFC
26,110.000000000,1,0x01
27,0.000000000,-5,0xFB
28,208.000000000,-2,0xFE
29,210.000000000,0,0x00
30,0.000000000,-4,0xFC
31,0.000000000,-5,0xFB
32,37.927082062,-9,0xF7
33,91.197914124,-6,0xFA
34,109.171875000,1,0x01
35,109.302085876,-6,0xFA
36,106.937500000,3,0x03
37,0.342683315,3,0x03
38,0.338940769,-4,0xFC
39,-0.130208328,4,0x04
40,0.130208328,-4,0xFC
41,0.000000000,-2,0xFE
42,3.984375000,-5,0xFB
43,0.000000000,-3,0xFD
44,192.000000000,6,0x06
45,241.000000000,4,0x04
46,235.000000000,-1,0xFF
47,0.000000000,-3,0xFD
48,1.000000000,22,0x16
49,26.020833969,-7,0xF9
50,112.020835876,-6,0xFA
51,112.838546753,7,0x07
52,29.661460876,4,0x04
53,108.906250000,11,0x0B
54,-3.984375000,5,0x05
55,227.390243530,7,0x07
56,-192.000000000,-7,0xF9
57,14.000000000,-3,0xFD
58,2.000000000,5,0x05
59,36.744792938,6,0x06
60,1.328125000,-5,0xFB
61,1.259274840,6,0x06
62,0.781438112,-5,0xFB
